,article,dataCollection,datePublished,link,portal,subtitle,title
0,"Residências em Vicente Pires, no DF, recebem mutirão da Vigilância Ambiental contra a dengue, em imagem de arquivo — Foto: Breno Esaki/Agência Saúde O Distrito Federal registou 43.941 casos prováveis de dengue entre 29 de dezembro de 2019 e 8 de agosto de 2020. Os dados constam do boletim epidemiológico da Secretaria de Saúde do DF, divulgado na última sexta (21). Você sabe mesmo como se prevenir da dengue?Quarentena é oportunidade de prevenir a dengue Conforme a pasta, houve um aumento de 21,4% no número de casos prováveis, na comparação com o ano anterior, quando foram registrados 36.192 casos prováveis. Até o último levantamento, o número de mortes chegava a 42 na capital do país. De acordo com a pasta, Gama é a região com a maior taxa de incidência da doença causada pelo mosquito Aedes aegypti. O índice é de 3.234,09 ocorrências a cada 100 mil habitantes. Em seguida, aparecem as regiões de Sobradinho II (3.171,83/100 mil habitantes) e Sobradinho (3.059,09/100 mil habitantes). Na contramão, Sudoeste e Octogonal têm a menor incidência. Óbitos Nos últimos oito meses, 42 pessoas morreram. No mesmo período do ano passado foram 45 vítimas. Em 2020, a maioria dos casos (10) foi registrada no Gama. Os demais óbitos ocorreram nas seguintes regiões: Gama (10)Ceilândia (4)Samambaia (3)Planaltina (3)Vicente Pires (3)Recanto da Emas (2)Sobradinho (2)Guará (2)Sobradinho II (2)Lago Sul (2)Taguatinga (2)Santa Maria (2)Riacho Fundo II (1)Paranoá (1)Fercal (1)Águas Claras (1)Plano Piloto (1) Ao todo, o DF registra 65 casos graves de dengue e 644 casos com sinais de alarme. Com o levantamento, é possível apontar que o DF está com ""alta incidência"" de casos. Prevenção Agente descarta focos do mosquito da dengue no DF — Foto: Gabriel Jabur/Agência Brasília Para evitar a reprodução do Aedes aegypti em casa e, consequentemente, reduzir os ataques do mosquito, o Ministério da Saúde reuniu uma série de orientações. Confira abaixo: Utilize telas de proteção com buracos de, no máximo, 1,5 milímetros nas janelas da casa;Deixe as portas e janelas fechadas, principalmente nos períodos do nascer e do pôr do sol;Mantenha o terreno de casa sempre limpo e livre de materiais ou entulhos que possam ser criadouros;Tampe os tonéis e caixas d’água;Mantenha as calhas sempre limpas;Deixe garrafas sempre viradas com a boca para baixo;Mantenha lixeiras bem tampadas;Deixe ralos limpos e com aplicação de tela;Limpe semanalmente ou preencha pratos de vasos de plantas com areia;Limpe com escova ou bucha os potes de água para animais;Limpe todos os acessórios de decoração que ficam fora de casa e evite o acúmulo de água em pneus e calhas sujas, por exemplo;Deixe portas e janelas fechadas, principalmente nos períodos do nascer e do pôr do sol;Coloque repelentes elétricos próximos às janelas – o uso é contraindicado para pessoas alérgicas;Velas ou difusores de essência de citronela também podem ser usados;Evite produtos de higiene com perfume, pois podem atrair insetos;Retire água acumulada na área de serviço, atrás da máquina de lavar roupa;Coloque areia nos vasos de plantas. Leia mais notícias sobre a região no G1 DF.",14-09-2020,2020-08-24 09:13:39.000000,https://g1.globo.com/df/distrito-federal/noticia/2020/08/24/dengue-df-tem-439-mil-casos-provaveis-e-42-mortes.ghtml,g1,"Números são referentes a período entre 29 de dezembro e 8 de agosto. Aumento é de 21,4% em relação ao mesmo intervalo do ano passado.","Dengue: DF tem 43,9 mil casos prováveis e 42 mortes"
1,"Mais de 200 casos de dengue são registrados em uma semana, em Vitória da Conquista A cidade de Vitória da Conquista, no sudoeste da Bahia, registrou 217 casos de dengue em uma semana, conforme o último boletim divulgado pela prefeitura na segunda-feira (27). De acordo com os dados da prefeitura, de janeiro até o dia 17 de julho, a cidade havia registrado 2.134 casos de dengue. Já no último boletim, com dados até a última sexta-feira (24), a cidade havia registrado 2.351 casos. Ainda conforme o último boletim, a cidade teve 10 casos de zika e 23 de chikungunya. Vitória da Conquista também já possui duas mortes por dengue hemorrágica em 2020. A prefeitura alerta que a população precisa tomar cuidado dentro de suas casas, principalmente com o acúmulo de água em locais que podem tornar-se criadouros do mosquito aedes aegypti , transmissor da doença. Neste momento da pandemia do novo coronavírus, os agentes municipais não podem ter acesso aos imóveis para fiscalizar e combater as lavas, por isso a importância de uma população em alerta para os casos. Aedes aegypti transmissor de arboviroses como dengue, zika e chikungunya — Foto: Getty Images/BBC Veja mais notícias do estado no G1 Bahia.",14-09-2020,2020-07-28 14:22:19.000000,https://g1.globo.com/ba/bahia/noticia/2020/07/28/mais-de-200-casos-de-dengue-sao-registrados-em-uma-semana-na-cidade-de-vitoria-da-conquista.ghtml,g1,"Dados são da prefeitura do município do sudoeste baiano, que já registra 2.351 casos de dengue.",Mais de 200 casos de dengue são registrados em uma semana na cidade de Vitória da Conquista
2,"Rio Preto registra queda no número de casos de dengue — Foto: Reprodução/TV TEM Rio Preto registrou uma queda no número de casos de dengue este ano, sendo cinco vezes menor se comparado com o ano passado, segundo a Secretaria de Saúde. Ainda de acordo com a pasta, de janeiro a agosto deste ano foram 6.035 mil casos registrados. Já no ano passado foram 32.673. Um fator que pode ter contribuído é o tempo seco. Além disso, outros fatores que podem ter contribuído são o ciclo do mosquito e que as pessoas estão mais tempo em casa e cuidando um pouco mais do quintal. Veja mais notícias da região no G1 Rio Preto e Araçatuba",14-09-2020,2020-08-31 21:47:45.000000,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2020/08/31/rio-preto-registra-queda-no-numero-de-casos-de-dengue-este-ano-aponta-secretaria-de-saude.ghtml,g1,Este ano foram registrados 6.035 casos de dengue entre janeiro e agosto; em 2019 foram 32.673.,"Rio Preto registra queda no número de casos de dengue este ano, aponta Secretaria de Saúde"
3,"Entre janeiro e junho deste ano, o estado registrou 13.858 ocorrências de dengue. — Foto: Divulgação/Semsa Entre janeiro e junho deste ano, o Ceará registrou 13.858 ocorrências de dengue, número 32,3% superior ao contabilizado em igual período de 2019, quando 10.471 casos da arbovirose foram confirmados, segundo dados da Secretaria Estadual da Saúde (Sesa). As notificações de zika também aumentaram: foram 28 ocorrências no primeiro semestre de 2020 contra 10 no mesmo intervalo de 2019 - aumento de 180%. Por outro lado, a chikungunya, outra arbovirose monitorada pela Sesa, reduziu mais da metade: as notificações caíram de 917 nos primeiros seis meses de 2019 para 407 em igual período deste ano, uma redução de 55%. Luciano Pamplona, epidemiologista especializado em arboviroses e professor da Universidade Federal do Ceará (UFC), aponta que a alta está abaixo do que era esperado para este ano. “A expectativa era de uma grande epidemia de dengue no Ceará, algo que estávamos projetando desde 2019 em virtude do retorno da dengue de tipo 2"", explica. Atualmente, dois sorotipos de dengue são percebidos no Ceará, um dos 13 estados brasileiros a registrarem dupla circulação da doença. ""Temos uma grande parcela da população suscetível a esse vírus de tipo 2”, reflete Pamplona, que vê na pandemia de Covid-19 um fator a ser levado em conta para a mudança no comportamento da doença. “É muito provável que a pandemia de Covid-19 tenha suprimido a dengue na população”, avalia. O represamento de casos pode afetar a população a partir do segundo semestre, alerta o epidemiologista. “A grande preocupação que a gente tem é nesse segundo semestre, apesar de não ser o período de sazonalidade do vírus, e no primeiro semestre de 2021. Passamos esses cinco meses sem acompanhamento endêmico por causa da pandemia. Pode acontecer um aumento de focos, e a recirculação do dengue 2 junto com o dengue 1”, completa. Em nota, a Secretaria de Saúde (Sesa) informou que o monitoramento de arboviroses está suspenso, seguindo recomendações do Ministério da Saúde (MS) para adequar as ações de vigilância e controle de zoonoses durante a pandemia de Covid-19. Ação de combate ao mosquito da dengue é realizada em Fortaleza Avanço no Litoral Leste Nas últimas cinco semanas, dois municípios no Litoral Leste do Ceará foram os únicos a indicar alta incidência de casos de dengue do Estado. De acordo com o IntegraSUS, plataforma da Sesa para acompanhamento epidemiológico, Quixeré e Limoeiro do Norte registraram, respectivamente, incidência de 408,9 e 349,2, considerado elevado. A taxa de incidência é calculada a partir do número de casos novos de uma patologia em determinado intervalo de tempo dividido pela população exposta à doença. Ainda conforme o sistema, o período entre os dias 14 de junho e 27 de julho também concentra os casos da arbovirose nessas regiões. Das 631 ocorrências de dengue acumuladas desde o início do ano em Limoeiro do Norte, 207 foram indicadas nas últimas cinco semanas. A parcela equivale a 32% do total de casos. Situação parecida aconteceu em Quixeré mas, por lá, a intensificação foi mais perceptível: 55% dos pacientes infectados com dengue receberam diagnóstico desde o dia 13 de junho, o que representa 90 dos 161 casos registrados da doença no município desde janeiro. Questionada sobre a situação no Litoral Leste, a Sesa informou que os dados entomológicos referentes não condizem com o momento atual, já que a segunda fase do Levantamento Entomológico (LIRAa e LIA) foi suspensa pelo Ministério da Saúde, por meio da Coordenação Geral de Vigilância de Arboviroses (CGARB), devido à pandemia de Covid-19. A etapa estava prevista para ser realizada entre os dias 30 de março e 18 de abril, com data de envio até 28 de abril. Taxa de incidência De acordo com o boletim epidemiológico nacional mais recente sobre a doença, publicado pelo Ministério da Saúde no início de julho, o Ceará tem a segunda maior taxa de incidência de dengue do Nordeste, atrás apenas da Bahia. Cerca de 174,1 casos de dengue são registrados em cearenses a cada 100 mil habitantes. Em território baiano, o número é de 441,9 infecções na mesma parcela da população. O índice de positividade da doença no Ceará também é alto. Entre os nove estados nordestinos, o Estado é o que tem maior taxa — 38,4% dos testes para diagnósticos da doença reagiram para a arbovirose. Dessa forma, o Ceará está em nono lugar no Brasil em número de positivos. Pernambuco, segundo estado do Nordeste no ranking, contabiliza 36,4% de reações para a arbovirose. A maior taxa foi indicada no Paraná, com 61,4% de reações para a doença.",14-09-2020,2020-07-29 14:24:59.000000,https://g1.globo.com/ce/ceara/noticia/2020/07/29/casos-confirmados-de-dengue-aumentam-32percent-no-primeiro-semestre-de-2020-no-ceara-zika-cresce-180percent.ghtml,g1,"Entre janeiro e junho deste ano, o estado registrou 13.858 ocorrências de dengue.",Casos confirmados de dengue aumentam 32% no primeiro semestre de 2020 no Ceará; zika cresce 180%
4,"Mosquito é transmissor de doenças como a dengue, chikungunya e do vírus zika, causador da microcefalia — Foto: Felipe Dana/AP Mogi Guaçu (SP) registrou 22 casos confirmados de dengue nas últimas três semanas, segundo o boletim epidemiológico divulgado pela prefeitura nesta sexta-feira (31). Ao todo, o município contabiliza 1.762 moradores infectados. Desde janeiro deste ano, a Vigilância Epidemiológica recebeu 5.405 notificações da doença transmitida pelo mosquito Aedes aegypti. Desse total, 3.622 foram descartadas e 21 aguardam o resultado de exames laboratoriais. Segundo a prefeitura, as regiões norte e do centro de saúde são as mais afetadas pela doença, com 198 e 180 casos positivos, respectivamente. Logo em seguida estão as regiões da Chácara Alvorada e centro-oeste, com 148 e 128 casos. Em nota, a administração municipal pede aos moradores com sintomas - como febre, manchas vermelhas pelo corpo, dores musculares e nos olhos - que evitem a automedicação e procurem o posto de saúde mais próximo. Veja mais notícias da região no G1 Campinas",14-09-2020,2020-07-31 19:11:32.000000,https://g1.globo.com/sp/campinas-regiao/noticia/2020/07/31/mogi-guacu-registra-22-casos-de-dengue-em-tres-semanas-e-soma-1762-infectados.ghtml,g1,"Boletim divulgado pela prefeitura nesta sexta-feira (31) contabiliza 5.405 notificações da doença desde janeiro deste ano. Desse total, 21 ainda aguardam o resultado dos exames.",Mogi Guaçu registra 22 casos de dengue em três semanas e soma 1.762 infectados
5,"Um levantamento feito pela Secretaria Municipal de Saúde de Garanhuns, no Agreste de Pernambuco, registrou uma redução no último Levantamento do Índice Rápido de Infestação Predial do Aedes aegypti (LIRAa), realizado pelo Programa Nacional de Controle à Dengue em Garanhuns (PNCD-GUS). Os dados são divulgados de forma bimestral, levando em consideração focos do mosquito Aedes Aegypti, nos bairros, comunidades e distritos do município. O último índice de 2,9 % mostra uma redução no percentual de infestação em Garanhuns, durante os meses de maio e junho deste ano. De acordo com os dados, houve uma diminuição de 1,4 %, em relação aos meses de março e abril. “Buscamos sempre intensificar as ações de combate ao mosquito em nosso município, com o intuito de que os números da dengue sejam reduzidos a níveis de menor risco. Este resultado não seria positivo sem a colaboração de todos os profissionais envolvidos, e também da população de Garanhuns”, pontuou a secretária de Saúde, Nilva Mendes. Resultado foi apresentado no terceiro levantamento do índice — Foto: Divulgação Mesmo com as medidas preventivas adotadas em decorrência da pandemia da Covid-19, que impõem restrições às visitas domiciliares, o setor de Vigilância em Saúde segue dando continuidade ao controle das arboviroses no município. Entre as ações realizadas, está o trabalho de caráter orientativo, com foco na prevenção das doenças transmitidas pelo Aedes Aegypti, que é realizado diretamente pelos agentes de combate às endemias (ACE’s). Outras atividades também estão sendo realizadas, como mutirões de limpeza em diversas localidades e o bloqueio viral. Esta ação consiste na aplicação de um inseticida, por meio de pulverização com o sistema de Ultra Baixo Volume (UBV), que interrompe o ciclo das doenças transmitidas pelo mosquito, em um raio de até 200 metros de casos notificados.",14-09-2020,2020-07-23 17:38:12.000000,https://g1.globo.com/pe/caruaru-regiao/noticia/2020/07/23/prefeitura-de-garanhuns-divulga-indices-de-dengue-do-ultimo-bimestre.ghtml,g1,"Dados são divulgados de forma bimestral, houve uma diminuição de 1,4 %, em relação aos meses de março e abril.",Prefeitura de Garanhuns divulga índices de dengue do último bimestre
6,"Aedes aegypti, transmissor da dengue, zika e chikungunya — Foto: Getty Images/BBC O Amapá teve redução de 78,9% de casos registrados de dengue em agosto de 2020, na comparação com o mesmo período do ano passado. A informação é de um relatório divulgado pelo governo estadual. Esse ano foram 31 casos da doença contra 147 no mesmo mês de 2019. No entanto, o balanço feito pela Superintendência de Vigilância em Saúde (SVS) indica um aumento de 121% no número de pessoas com dengue entre julho e agosto deste ano. No mês passado foram contabilizados 14 casos da doença, que é transmitida pelo mosquito Aedes aegypti. Larvas do Aedes aegypti — Foto: Prefeitura de Macapá/Divulgação Técnico da Unidade de Controle de Vetores, Aldo Maurício dos Santos analisa a elevação como normal. Segundo o especialista, o clima dessa época do ano favorece a proliferação do inseto. Ele também orienta a população sobre a busca de tratamento. ""Esse aumento de casos de dengue é sazonal. Nós já esperávamos aumento da doença nesse período. É necessário que as pessoas que apresentem sintomas similares aos da dengue, chikungunya e zika vírus procurem a UBS próxima de casa para se tratar o quanto antes"", destacou. Em relação a chikungunya e zika vírus - outras doenças transmitidas pelo Aedes -, o estado também apresentou queda nos casos no mesmo período analisado da dengue. A zika vírus teve o saldo mais positivo, pois não registrou casos em agosto deste ano, enquanto que no 8º mês do ano passado foram 6. A chikungunya teve 37 ocorrências em agosto de 2019 e 5 no mesmo período de 2020 - redução maior que 86%. Sintomas dengue, chikungunya e zika — Foto: G1 Veja o plantão de últimas notícias do G1 Amapá",14-09-2020,2020-08-30 12:17:37.000000,https://g1.globo.com/ap/amapa/noticia/2020/08/30/dengue-diminui-quase-80percent-no-ap-em-agosto-na-comparacao-com-mesmo-periodo-de-2019.ghtml,g1,"No ano passado, mês teve 147 casos da doença contra 31 registros em 2020. Zika e chikungunya também tiveram redução.",Dengue diminui quase 80% no AP em agosto na comparação com mesmo período de 2019
7,"Aedes aegypti — Foto: Getty Images/BBC/Arquivo Um levantamento realizado pela Secretaria Municipal da Saúde (SMS) de Aracaju apontou que desde o início do ano até essa terça-feira (18) foram notificados 997 casos de dengue, 770 chikungunya, e 27 de zika na capital. Segundo a Vigilância Epidemiológica, os bairros com maiores notificações por doenças provocadas pelo Aedes aegypti são: Olaria, Bugio, Porto D’Antas, Cidade Nova, Santos Dumont, Industrial, Jardim Centenário, Santo Antônio, Santos Dumont, 18 do Forte, Luzia, Suissa, e Getúlio Vargas. O Bairro Olaria apresenta 54 casos notificados de dengue, 30 casos de chikungunya e um de zika. Já o Bairro Jardim Centenário apresenta 45 casos notificados de dengue, 21 casos de chikungunya, e nenhum caso de zika. O Bairro América apresenta 34 casos notificados de dengue, 12 casos de chikungunya, e nenhum caso de zika. Sintomas das doenças — Foto: Arte/ G1/Arquivo",14-09-2020,2020-08-18 15:04:29.000000,https://g1.globo.com/se/sergipe/noticia/2020/08/18/mais-de-1700-notificacoes-por-doencas-provocadas-pelo-aedes-aegypti-foram-registradas-em-aracaju.ghtml,g1,"Segundo a SMS, maior número de casos são de dengue.",Mais de 1.700 notificações por doenças provocadas pelo Aedes aegypti foram registradas em Aracaju
8,"Agentes irão vistorias as casas para checar possíveis focos de dengue — Foto: Divulgação/Prefeitura de Guarujá A Prefeitura de Guarujá, no litoral de São Paulo, retoma a partir desta quarta-feira (15) a vistoria casa a casa para verificar possíveis focos do mosquito Aedes aegypti, transmissor da dengue. Neste ano, já foram confirmados 234 casos de dengue no Município. O novo cronograma contempla os bairros Vila Edna, Vila Zilda, Enseada e Morrinhos. As ações nesses locais seguem até sexta-feira (17). Desde março, devido à pandemia da Covid-19, a Secretaria Municipal de Saúde (Sesau) adaptou a ação e os agentes se dirigiam às residências, mas não entravam, apenas orientavam os moradores sobre os cuidados necessários para evitar a proliferação do mosquito. Segundo a administração municipal, o serviço de vistoria será retomado com segurança. Para evitar a propagação do novo coronavírus, os cuidados serão redobrados e os servidores utilizarão Equipamentos de Proteção Individual (EPIs), como máscaras e luvas, para que não sejam colocados em risco os profissionais e os moradores. Além dos EPIs, os servidores estarão utilizando um crachá e uniforme para visitar as casas. O agente utiliza uniforme da cor branca e o supervisor, azul marinho, ambas com a seguinte frase na frente: ‘Todos juntos contra o Aedes aegypti – Guarujá’. Na manga esquerda está o brasão da Prefeitura e, nas costas, a informação: ‘Prefeitura de Guarujá, Secretaria de Saúde, Controle de Dengue’. Em caso de dúvida, o munícipe pode ligar para o telefone (13) 3341-6569, identificar o nome do agente e verificar se a equipe está atuando no seu bairro.",14-09-2020,2020-07-15 19:33:38.000000,https://g1.globo.com/sp/santos-regiao/noticia/2020/07/15/guaruja-retoma-vistoria-contra-a-dengue-dentro-de-residencias.ghtml,g1,"Agentes iniciarão os trabalhos nos bairros Vila Edna, Vila Zilda, Enseada e Morrinhos.",Guarujá retoma vistoria contra a dengue dentro de residências
9,"O mosquito Aedes aegypti, que transmite a dengue. — Foto: Alexandre Carvalho / Fotos Públicas Gama e Sobradinho são as regiões com a maior incidência de dengue no Distrito Federal. As localidades são as únicas a ultrapassar a marca de 3 mil registros da doença a cada 100 mil habitantes, segundo o último boletim da Secretaria de Saúde, divulgado neste sábado (29). Os dados correspondem à proporção de infectados pelo mosquito Aedes aegypti levando em conta o total de moradores da região. Em números absolutos, o Gama permanece na liderança do ranking de casos de dengue, com 4.658 notificações (veja tabela abaixo). Em seguida, estão Sobradinho II e Sobradinho, com 2.505 e 2.195 registros, respectivamente. Ao todo, o DF contabilizou 44.277 casos prováveis da doença e 43 óbitos entre os dias 29 de dezembro de 2019 e 15 de agosto de 2020. São 336 casos a mais em relação à semana anterior. No mesmo período do ano passado, 50 pessoas morreram pelo agravamento da dengue. Taxa de incidência da dengue em regiões do DF — Foto: SES/Reprodução Mortes no DF Neste ano, houve óbitos em 18 regiões. Segundo a Secretaria de Saúde, a maioria das vítimas (10) era moradora do Gama. Veja lista abaixo: Gama: 10 mortes Ceilândia: 4Samambaia: 3Vicente Pires: 3Planaltina: 3Sobradinho: 2Guará: 2Sobradinho II: 2Lago Sul: 2Recanto da Emas: 2Taguatinga: 2Santa Maria: 2Riacho Fundo II: 1Paranoá: 1Fercal: 1Águas Claras: 1Sudoeste/Octogonal: 1 Plano Piloto: 1 Como prevenir? Vigilante de prevenção de endemias faz vistoria contra a dengue em casa no Gama, no Distrito federal — Foto: Secretaria de Saúde do DF/ Divulgação Para evitar a reprodução do Aedes aegypti em casa e, consequentemente, reduzir os ataques do mosquito, o Ministério da Saúde reuniu uma série de orientações. Confira abaixo: Utilize telas de proteção com buracos de, no máximo, 1,5 milímetros nas janelas da casa;Deixe as portas e janelas fechadas, principalmente nos períodos do nascer e do pôr do sol;Mantenha o terreno de casa sempre limpo e livre de materiais ou entulhos que possam ser criadouros;Tampe os tonéis e caixas d’água;Mantenha as calhas sempre limpas;Deixe garrafas sempre viradas com a boca para baixo;Mantenha lixeiras bem tampadas;Deixe ralos limpos e com aplicação de tela;Limpe semanalmente ou preencha pratos de vasos de plantas com areia;Limpe com escova ou bucha os potes de água para animais;Limpe todos os acessórios de decoração que ficam fora de casa e evite o acúmulo de água em pneus e calhas sujas, por exemplo;Deixe portas e janelas fechadas, principalmente nos períodos do nascer e do pôr do sol;Coloque repelentes elétricos próximos às janelas – o uso é contraindicado para pessoas alérgicas;Velas ou difusores de essência de citronela também podem ser usados;Evite produtos de higiene com perfume, pois podem atrair insetos;Retire água acumulada na área de serviço, atrás da máquina de lavar roupa;Coloque areia nos vasos de plantas. Leia mais notícias sobre a região no G1 DF.",14-09-2020,2020-08-30 13:21:37.000000,https://g1.globo.com/df/distrito-federal/noticia/2020/08/30/dengue-gama-e-sobradinho-tem-maior-incidencia-de-casos-no-df.ghtml,g1,"Regiões são únicas com mais de 3 mil registros a cada 100 mil habitantes. Ao todo, há 44,2 mil notificações da doença na capital; 43 pessoas morreram.",Dengue: Gama e Sobradinho têm maior incidência de casos no DF
